Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,Asiga,MAX X,35 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.65,1.49,2.95,"Less than $49,999",
Click for Details,Asiga,MAX X,43,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",3.24,1.83,2.95,"Less than $49,999",
Click for Details,Asiga,MAX X,43 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",3.24,1.83,2.95,"Less than $49,999",
Click for Details,Asiga,Pico 2,39,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2,1.2,2.9,"Less than $49,999",
Click for Details,Asiga,Pico 2,39 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2,1.2,2.9,"Less than $49,999",
Click for Details,Asiga,Pico 2,50,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.5,1.5,2.9,"Less than $49,999",
Click for Details,Asiga,PICO2 HD,37,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.79,1.57,2.99,"Less than $49,999",
Click for Details,Asiga,PICO2 HD,37 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.79,1.57,2.99,"Less than $49,999",
Click for Details,Asiga,PRO2,50,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",3.78,2.13,7.87,"Less than $49,999",
Click for Details,Asiga,PRO2,50 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",3.78,2.13,7.87,"Less than $49,999",
Click for Details,Asiga,PRO2,62,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",4.68,2.63,7.87,"Less than $49,999",
Click for Details,Asiga,PRO2,62 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",4.68,2.63,7.87,"Less than $49,999",
Click for Details,Asiga,PRO2,75,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",5.67,3.19,7.87,"Less than $49,999",
Click for Details,Asiga,PRO2,75 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",5.67,3.19,7.87,"Less than $49,999",
