Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,Shanghai Union Technology,RSPro 800,Full Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,31.5,21.6,"$250,000 - $499,999",
Click for Details,Shanghai Union Technology,RSPro 800,Half Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,31.5,11.8,"$250,000 - $499,999",
Click for Details,Sharebot,Antares,,0.15,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,"Less than $49,999",
Click for Details,Sharebot,Next Generation XXL Plus,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, TPU, ABS, Wood-like",28.35,9.84,7.87,"Less than $49,999",
Click for Details,Sharebot,Sharebot Q,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, TPU, PA-Carbon, PA-Glass, Wood-like",11.81,15.75,11.81,"Less than $49,999",
Click for Details,Sharebot,Sharebot QXXL,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, PA-Carbon, PA-Glass, PP, TPU, ASA",27.56,13.78,11.81,"Less than $49,999",
Click for Details,Sharebot,Snow White,,,Powder Bed Fusion (e.g. SLS),"Polymer, Composite",PA,3.94,3.94,3.94,Price not reported,
Click for Details,Shining 3D,EP-C3650,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand, Wax","Resin Sand, PS, Wax Powder",14.2,14.2,19.6,Price not reported,
Click for Details,Shining 3D,EP-C5050,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand, Wax","Resin Sand, PS, Wax Powder",19.6,19.6,19.6,Price not reported,
Click for Details,Shining 3D,EP-M100T,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum, Copper, Tungsten",4.72,4.72,3.15,Price not reported,
Click for Details,Shining 3D,EP-M100T,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum, Copper, Tungsten",4.72,4.72,3.15,Price not reported,
Click for Details,Shining 3D,EP-M250,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium, Nickel",9.84,9.84,11.8,Price not reported,
Click for Details,Shining 3D,EP-M250,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium, Nickel",9.84,9.84,11.8,Price not reported,
Click for Details,Shining 3D,EP-P3850 SLS,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Composite","PA, PA-Glass, PP, TPU, PE, TPE",14.96,14.96,19.69,Price not reported,
Click for Details,Shining 3D,iSLA-350,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,11.81,Price not reported,
Click for Details,Shining 3D,iSLA-450 Pro,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,Price not reported,
Click for Details,Shining 3D,iSLA-650 Pro,,,Vat Photopolymerization (e.g. SLA),Polymer,,25.6,23.6,15.7,Price not reported,
Click for Details,Sinterit,Sinterit Lisa,,5,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.9,7.9,5.9,"Less than $49,999",
Click for Details,Sintratec,Sintratec Kit,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.1,5.1,5.1,"Less than $49,999",
Click for Details,Sintratec,Sintratec S1,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.12,5.12,7.09,Price not reported,
Click for Details,Sisma,EVE res20,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,3.94,5.91,Price not reported,
Click for Details,Sisma,Mysint 300,,500,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Steel, Nickel, Aluminum, Titanium",11.8,11.8,15.75,Price not reported,
Click for Details,Sisma,mysint100,,200,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Nickel",3.94,3.94,3.94,"$100,000 - $249,999",
Click for Details,Sisma,mysint100 Dual Laser,,200,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Nickel",3.94,3.94,3.94,"$100,000 - $249,999",
Click for Details,SLM Solutions,SLM 125,Single (1x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,4.92,"$250,000 - $499,999",
Click for Details,SLM Solutions,SLM 280 2.0,"Dual (1x700W, 1x1000W)","700, 1000",Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
Click for Details,SLM Solutions,SLM 280 2.0,Single (1x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
Click for Details,SLM Solutions,SLM 280 2.0,Single (1x700),700,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
Click for Details,SLM Solutions,SLM 280 2.0,Twin (2x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
Click for Details,SLM Solutions,SLM 280 2.0,Twin (2x700W),700,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
Click for Details,SLM Solutions,SLM 500,Quad (4x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",19.69,11.02,14.3,"Greater than $1,000,000",
Click for Details,SLM Solutions,SLM 500,Quad (4x700W),700,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",19.69,11.02,14.3,"Greater than $1,000,000",
Click for Details,SLM Solutions,SLM 500,Twin (2x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",19.69,11.02,14.3,"Greater than $1,000,000",
Click for Details,SLM Solutions,SLM 500,Twin (2x700W),700,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",19.69,11.02,14.3,"Greater than $1,000,000",
Click for Details,Solidscape (A Prodways Company),Solidscape S350,,,Material Jetting,Wax,Wax-like,6,6,4,"Less than $49,999",
Click for Details,Solidscape (A Prodways Company),Solidscape S370,,,Material Jetting,Wax,Wax-like,6,6,4,"Less than $49,999",
Click for Details,Solidscape (A Prodways Company),Solidscape S390,,,Material Jetting,Wax,Wax-like,6,6,2,"Less than $49,999",
Click for Details,Solidscape (A Prodways Company),Solidscape S500,,,Material Jetting,Wax,Wax-like,6,6,4.4,"Less than $49,999",
Click for Details,Sondasys,LA1100 dual,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,39.37,39.37,19.69,Price not reported,
Click for Details,Sondasys,LA1100 dual,Standard,,Vat Photopolymerization (e.g. SLA),Polymer,,39.37,39.37,23.62,Price not reported,
Click for Details,Sondasys,LA300,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,11.81,11.81,Price not reported,
Click for Details,Sondasys,LA300,Standard,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,11.81,7.87,Price not reported,
Click for Details,Sondasys,LA600 PRO,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,Price not reported,
Click for Details,Sondasys,LA600 PRO,Standard,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,11.81,Price not reported,
Click for Details,Sondasys,M150,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",5.91,5.91,7.87,Price not reported,
Click for Details,Sondasys,M150,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",5.91,5.91,7.87,Price not reported,
Click for Details,Sondasys,M300,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",11.81,9.84,13.78,Price not reported,
Click for Details,Sondasys,SL01,Exchangeable,60-100,Powder Bed Fusion (e.g. SLS),Polymer,PA,13.78,13.78,23.62,Price not reported,
Click for Details,Sondasys,SL01,Standard,60-100,Powder Bed Fusion (e.g. SLS),Polymer,PA,9.84,9.84,11.81,Price not reported,
Click for Details,SPEE3D,LightSPEE3D,,,Directed Energy Deposition,Metal,"Copper, Aluminum",11.81,11.81,11.81,Price not reported,
Click for Details,STACKER,STACKER S2,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,15.35,12.4,20.67,"Less than $49,999",
Click for Details,STACKER,STACKER S4,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,14.37,20.08,25.79,"Less than $49,999",
Click for Details,STACKER,STACKER S4-XL,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,24.02,24.02,24.02,"Less than $49,999",
Click for Details,Stratasys,F170,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, ASA",10,10,10,"Less than $49,999",
Click for Details,Stratasys,F270,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, ASA",12,10,12,"Less than $49,999",
Click for Details,Stratasys,F370,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC/ABS, ASA",14,10,14,"Less than $49,999",
Click for Details,Stratasys,F900,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS, PA",36,24,36,"$250,000 - $499,999",
Click for Details,Stratasys,Fortus 380mc,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",14,12,12,"$100,000 - $249,999",
Click for Details,Stratasys,Fortus 380mc Carbon Fiber Edition,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA-Carbon, ASA",13.98,12.01,12.01,"$50,000 - $99,999",
Click for Details,Stratasys,Fortus 450mc,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",16,14,16,"$100,000 - $249,999",
Click for Details,Stratasys,J700 Dental,,,Material Jetting,Polymer,,19.29,15.35,,Price not reported,
Click for Details,Stratasys,J735,High Mix,,Material Jetting,Polymer,,13.78,13.78,7.87,Price not reported,
Click for Details,Stratasys,J735,High Quality,,Material Jetting,Polymer,,13.78,13.78,7.87,Price not reported,
Click for Details,Stratasys,J735,High Speed,,Material Jetting,Polymer,,13.78,13.78,7.87,Price not reported,
Click for Details,Stratasys,J750,High Mix,,Material Jetting,Polymer,,19.3,15.35,7.9,Price not reported,
Click for Details,Stratasys,J750,High Quality,,Material Jetting,Polymer,,19.3,15.35,7.9,Price not reported,
Click for Details,Stratasys,J750,High Speed,,Material Jetting,Polymer,,19.3,15.35,7.9,Price not reported,
Click for Details,Stratasys,Mojo,,,Material Extrusion (e.g. FDM),Polymer,ABS,5,5,5,"Less than $49,999",
Click for Details,Stratasys,Objet Eden260VS,High quality,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",
Click for Details,Stratasys,Objet Eden260VS,High speed,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",
Click for Details,Stratasys,Objet Eden260VS Dental Advantage,,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",
Click for Details,Stratasys,Objet1000 Plus,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3701,31.49608,19.68505,"$500,000 - $999,999",
Click for Details,Stratasys,Objet1000 Plus,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3701,31.49608,19.68505,"$500,000 - $999,999",
Click for Details,Stratasys,Objet1000 Plus,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3701,31.49608,19.68505,"$500,000 - $999,999",
Click for Details,Stratasys,Objet24,,,Material Jetting,Polymer,Acrylic,9.21,7.55,5.85,"Less than $49,999",
Click for Details,Stratasys,Objet260 Connex1,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Connex1,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Connex1,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Connex3,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Connex3,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Connex3,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Dental 3D Printer,High quality,,Material Jetting,Polymer,"Acrylic, Rubber-like",10.04,9.92,7.87,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Dental 3D Printer,High speed,,Material Jetting,Polymer,"Acrylic, Rubber-like",10.04,9.92,7.87,"$100,000 - $249,999",
Click for Details,Stratasys,Objet260 Dental Selection,,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet30,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",11.574809,7.559059,5.850397,"Less than $49,999",
Click for Details,Stratasys,Objet30 Dental Prime,Draft,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
Click for Details,Stratasys,Objet30 Dental Prime,High quality,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
Click for Details,Stratasys,Objet30 Dental Prime,High speed,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
Click for Details,Stratasys,Objet30 OrthoDesk,,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
Click for Details,Stratasys,Objet30 Prime,,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",11.57,7.55,5.85,"Less than $49,999",
Click for Details,Stratasys,Objet30 Pro,,,Material Jetting,Polymer,Acrylic,11.57,7.55,5.85,"Less than $49,999",
Click for Details,Stratasys,Objet350 Connex3,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$250,000 - $499,999",
Click for Details,Stratasys,Objet350 Connex3,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$250,000 - $499,999",
Click for Details,Stratasys,Objet350 Connex3,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$250,000 - $499,999",
Click for Details,Stratasys,Objet500 Connex1,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.291349,15.354339,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet500 Connex1,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.291349,15.354339,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet500 Connex1,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.291349,15.354339,7.87402,"$100,000 - $249,999",
Click for Details,Stratasys,Objet500 Connex3,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.3,15.4,7.9,"$250,000 - $499,999",
Click for Details,Stratasys,Objet500 Connex3,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.3,15.4,7.9,"$250,000 - $499,999",
Click for Details,Stratasys,Objet500 Connex3,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.3,15.4,7.9,"$250,000 - $499,999",
Click for Details,Stratasys,Objet500 Dental Selection,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.29,15.35,7.87,"$250,000 - $499,999",
Click for Details,Stratasys,Objet500 Dental Selection,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.29,15.35,7.87,"$250,000 - $499,999",
Click for Details,Stratasys,uPrint SE,Plus,,Material Extrusion (e.g. FDM),Polymer,ABS,8,8,6,"Less than $49,999",
Click for Details,Structo,DentaForm,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",7.87,5.9,3.93,"Less than $49,999",
Click for Details,Structo,Velox,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.95,1.77,2.95,"Less than $49,999",
Click for Details,Techgine Laser Technology,TZ-SLM120,,200,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",4.72,4.72,4.33,Price not reported,
Click for Details,Techgine Laser Technology,TZ-SLM120,,500,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",4.72,4.72,4.33,Price not reported,
Click for Details,Techgine Laser Technology,TZ-SLM300A,,500,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",9.84,9.84,11.81,Price not reported,
Click for Details,Techgine Laser Technology,TZ-SLM500A,,4x500,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",19.69,19.69,39.37,Price not reported,
Click for Details,Techgine Laser Technology,TZ-SLM500A,,4x1000,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",19.69,19.69,39.37,Price not reported,
Click for Details,Titan Robotics,Atlas 1.0,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",30,30,45,"Less than $49,999",
Click for Details,Titan Robotics,Atlas 2.0,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",36,36,48,"Less than $49,999",
Click for Details,Titan Robotics,Atlas 2.5,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",42,42,48,"Less than $49,999",
Click for Details,Tongtai Machine & Tool Co.,AMP-160,,250,Powder Bed Fusion (e.g. SLS),Metal,,6.3,6.3,6.3,Price not reported,
Click for Details,Tongtai Machine & Tool Co.,AMP-250,,500,Powder Bed Fusion (e.g. SLS),Metal,,9.84,9.84,9.84,Price not reported,
Click for Details,Tongtai Machine & Tool Co.,AMS-1200,,,Binder Jetting,Sand,,47.24,21.26,31.5,Price not reported,
Click for Details,TPM3D (A Stratasys Company),TPM3D S320,,60,Powder Bed Fusion (e.g. SLS),Polymer,,12.6,12.6,23.6,"$100,000 - $249,999",
Click for Details,TPM3D (A Stratasys Company),TPM3D S360,,80,Powder Bed Fusion (e.g. SLS),Polymer,,14.1,14.1,23.6,"$100,000 - $249,999",
Click for Details,TPM3D (A Stratasys Company),TPM3D S480,,100,Powder Bed Fusion (e.g. SLS),Polymer,,18.9,18.9,23.6,"$100,000 - $249,999",
Click for Details,TPM3D (A Stratasys Company),TPM3D S550,,100,Powder Bed Fusion (e.g. SLS),Polymer,,21.7,21.7,23.6,"$250,000 - $499,999",
Click for Details,TRUMPF,TruPrint 1000,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",3.94,3.94,3.94,Price not reported,
Click for Details,TRUMPF,TruPrint 3000,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",11.8,11.8,15.75,Price not reported,
Click for Details,TRUMPF,TruPrint 5000,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",11.81,11.81,15.75,Price not reported,
Click for Details,Unirapid,UNIRAPID III,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,5.91,5.91,5.91,"$50,000 - $99,999",
Click for Details,Unirapid,UNIRAPID IV,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.96,1.96,1.96,Price not reported,
Click for Details,Vader Systems,Polaris,,,Material Jetting,Metal,Aluminum,11.81,11.81,11.81,"$250,000 - $499,999",
Click for Details,Velo3D,Sapphire System,Dual Laser,1000,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Titanium",12.4,12.4,15.75,Price not reported,
Click for Details,voxeljet,VX1000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",41.73,23.62,19.69,"$500,000 - $999,999",
Click for Details,voxeljet,VX1000,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",41.73,23.62,19.69,"$500,000 - $999,999",
Click for Details,voxeljet,VX200,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",11.81,7.87,5.91,"$100,000 - $249,999",
Click for Details,voxeljet,VX2000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",81.1,41.73,39.37,"$500,000 - $999,999",
Click for Details,voxeljet,VX2000,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",81.1,41.73,39.37,"$500,000 - $999,999",
Click for Details,voxeljet,VX4000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",157.48,78.74,39.37,"Greater than $1,000,000",
Click for Details,voxeljet,VX500,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",19.69,15.75,11.81,"$250,000 - $499,999",
Click for Details,W2P Engineering,SolFlex 150,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.57,2.36,4.72,"Less than $49,999",
Click for Details,W2P Engineering,SolFlex 170,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.2,3.5,4.72,"Less than $49,999",
Click for Details,W2P Engineering,SolFlex 350,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.52,4.72,5.12,"Less than $49,999",
Click for Details,W2P Engineering,SolFlex 650,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.04,4.72,5.12,"Less than $49,999",
Click for Details,Winbo,4 Nozzles 3D Printer,,,Material Extrusion (e.g. FDM),Polymer,PLA,11.81,8.46,11.81,"Less than $49,999",
Click for Details,Winbo,8 Nozzles 3D Printer,,,Material Extrusion (e.g. FDM),Polymer,PLA,12.6,8.27,14.96,"Less than $49,999",
Click for Details,Winbo,Dragon (XL),,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PETG",36,24,48,"Less than $49,999",
Click for Details,Winbo,Tiger (XL),,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PETG",36,24,24,"Less than $49,999",
Click for Details,Wuhan Binhu,HRPL-II,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999",
Click for Details,Wuhan Binhu,HRPL-III,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,19.69,"$100,000 - $249,999",
Click for Details,Wuhan Binhu,HRPM-II,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",9.84,9.84,9.84,"$250,000 - $499,999",
Click for Details,Wuhan Binhu,HRPM-II,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",9.84,9.84,9.84,"$250,000 - $499,999",
Click for Details,Wuhan Binhu,HRPS-II,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",12.6,12.6,17.72,"$50,000 - $99,999",
Click for Details,Wuhan Binhu,HRPS-IV,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",19.69,19.69,15.75,"$100,000 - $249,999",
Click for Details,Wuhan Binhu,HRPS-V,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",39.37,39.37,23.62,"$250,000 - $499,999",
Click for Details,Wuhan Binhu,HRPS-VI,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",47.24,47.24,23.62,"$500,000 - $999,999",
Click for Details,Wuhan Binhu,HRPS-VII,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,27.56,19.69,"$500,000 - $999,999",
Click for Details,Wuhan Binhu,HRPS-VIII,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,55.12,19.69,"Greater than $1,000,000",
Click for Details,Wuhan Huake 3D,HK C250,General type,55,Powder Bed Fusion (e.g. SLS),"Polymer, Composite","Alumina, Zirconia, Silicon Carbide",9.8,9.8,9.8,Price not reported,
Click for Details,Wuhan Huake 3D,HK C250,High precision type,100,Powder Bed Fusion (e.g. SLS),"Polymer, Composite","Alumina, Zirconia, Silicon Carbide",9.8,9.8,9.8,Price not reported,
Click for Details,Wuhan Huake 3D,HK L400,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,15.75,15.75,17.72,"$50,000 - $99,999",
Click for Details,Wuhan Huake 3D,HK M125,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Nickel",4.92,4.92,5.91,Price not reported,
Click for Details,Wuhan Huake 3D,HK P420,,55,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PP",16.54,16.54,19.69,Price not reported,
Click for Details,Wuhan Huake 3D,HK S1400,Dual laser,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",55.11814,27.55907,19.68505,"$250,000 - $499,999",
Click for Details,Wuhan Huake 3D,HK S500,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",19.68505,19.68505,15.74804,"$100,000 - $249,999",
Click for Details,Wuhan Huake 3D,HK S800,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",31.5,31.5,19.69,Price not reported,
Click for Details,Xact Metal,XM200C,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Bronze",5,5,5,"$50,000 - $99,999",
Click for Details,Xact Metal,XM200S,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Bronze, Steel, Nickel, Cobalt, Titanium",5,5,5,"$100,000 - $249,999",
Click for Details,Xery,Victory,,55,Powder Bed Fusion (e.g. SLS),Polymer,,13.779535,13.779535,25.590565,"$250,000 - $499,999",
Click for Details,Xery,Vision,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PVA",11.81103,11.81103,11.81103,"Less than $49,999",
Click for Details,Xi'an Bright Laser Technologies,BLT-A100,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt",3.94,3.94,3.94,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-A300,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,11.81,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-C1000 (LSF-Series),,2000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",59,39.4,39.4,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-C1000 (LSF-Series),,4000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",59,39.4,39.4,Price not reported,
